year,week,matchup_type,home_team_id,home_team,home_owner_ids,home_owner_names,home_score,home_projected,away_team_id,away_team,away_owner_ids,away_owner_names,away_score,away_projected,is_bye,winner,score_difference,home_starters_ids,home_bench_ids,away_starters_ids,away_bench_ids
2014,13,REGULAR,6,Detroit Ballas,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,61.0,,9,Team Swag monster,{ED7135CE-1C99-405A-B135-CE1C99E05A9F},Will,95.0,,False,AWAY,-34.0,,,,
2014,13,REGULAR,4,The Idks,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,127.0,,1,Psycho Monkey Poo Flingers2,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,108.0,,False,HOME,19.0,,,,
2014,13,REGULAR,7,Dunn's Dominators,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,115.0,,8,Team Bandwagon,{1328661D-EEAA-4F68-A866-1DEEAA6F68CC},Carson,97.0,,False,HOME,18.0,,,,
2014,14,PLAYOFF,7,Dunn's Dominators,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,97.0,,5,dhong  dynasty,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,60.0,,False,HOME,37.0,,,,
2014,15,PLAYOFF,8,Team Bandwagon,{1328661D-EEAA-4F68-A866-1DEEAA6F68CC},Carson,144.0,,7,Dunn's Dominators,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,53.0,,False,HOME,91.0,,,,
2014,15,PLAYOFF,1,Psycho Monkey Poo Flingers2,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,82.0,,4,The Idks,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,97.0,,False,AWAY,-15.0,,,,
2014,16,PLAYOFF,8,Team Bandwagon,{1328661D-EEAA-4F68-A866-1DEEAA6F68CC},Carson,119.0,,4,The Idks,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,66.0,,False,HOME,53.0,,,,
2015,1,REGULAR,3,Midget Jes̼s,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,101.0,,11,The  Legends,"{45F320B7-A9EA-42AD-BEEA-AE97F33A55FE}, {CB8801B1-2DC9-47DB-9752-626600865D83}","Brett, Connor",70.0,,False,HOME,31.0,,,,
2015,1,REGULAR,2,Tune Squad,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,86.0,,6,Dez Caught it,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,75.0,,False,HOME,11.0,,,,
2015,1,REGULAR,5,dhong  dynasty,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,88.0,,1,Mimsy's Nut Biters,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,135.0,,False,AWAY,-47.0,,,,
2015,1,REGULAR,4,The Idks,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,76.0,,10,$wag Money,{EAAD1FEA-A6D1-4BBE-A09A-EC86EF223450},Jack,81.0,,False,AWAY,-5.0,,,,
2015,1,REGULAR,8,Team Dubnation,{1328661D-EEAA-4F68-A866-1DEEAA6F68CC},Carson,88.0,,7,Dunn's Dominators,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,134.0,,False,AWAY,-46.0,,,,
2015,1,REGULAR,9,Team Swag monster,{ED7135CE-1C99-405A-B135-CE1C99E05A9F},Will,79.0,,12,Ruddy Ducks,{207DC893-5A3A-4A1B-BDC8-935A3AAA1B0B},Marco,91.0,,False,AWAY,-12.0,,,,
2015,2,REGULAR,11,The  Legends,"{45F320B7-A9EA-42AD-BEEA-AE97F33A55FE}, {CB8801B1-2DC9-47DB-9752-626600865D83}","Brett, Connor",79.0,,6,Dez Caught it,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,83.0,,False,AWAY,-4.0,,,,
2015,2,REGULAR,1,Mimsy's Nut Biters,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,93.0,,3,Midget Jes̼s,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,56.0,,False,HOME,37.0,,,,
2015,2,REGULAR,5,dhong  dynasty,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,50.0,,2,Tune Squad,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,83.0,,False,AWAY,-33.0,,,,
2015,2,REGULAR,10,$wag Money,{EAAD1FEA-A6D1-4BBE-A09A-EC86EF223450},Jack,90.0,,7,Dunn's Dominators,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,80.0,,False,HOME,10.0,,,,
2015,2,REGULAR,12,Ruddy Ducks,{207DC893-5A3A-4A1B-BDC8-935A3AAA1B0B},Marco,82.0,,4,The Idks,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,89.0,,False,AWAY,-7.0,,,,
2015,2,REGULAR,9,Team Swag monster,{ED7135CE-1C99-405A-B135-CE1C99E05A9F},Will,128.0,,8,Team Dubnation,{1328661D-EEAA-4F68-A866-1DEEAA6F68CC},Carson,93.0,,False,HOME,35.0,,,,
2015,3,REGULAR,1,Mimsy's Nut Biters,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,62.0,,11,The  Legends,"{45F320B7-A9EA-42AD-BEEA-AE97F33A55FE}, {CB8801B1-2DC9-47DB-9752-626600865D83}","Brett, Connor",99.0,,False,AWAY,-37.0,,,,
2015,3,REGULAR,6,Dez Caught it,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,96.0,,5,dhong  dynasty,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,81.0,,False,HOME,15.0,,,,
2015,3,REGULAR,3,Midget Jes̼s,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,56.0,,2,Tune Squad,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,101.0,,False,AWAY,-45.0,,,,
2015,3,REGULAR,12,Ruddy Ducks,{207DC893-5A3A-4A1B-BDC8-935A3AAA1B0B},Marco,128.0,,10,$wag Money,{EAAD1FEA-A6D1-4BBE-A09A-EC86EF223450},Jack,133.0,,False,AWAY,-5.0,,,,
2015,3,REGULAR,7,Dunn's Dominators,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,73.0,,9,Team Swag monster,{ED7135CE-1C99-405A-B135-CE1C99E05A9F},Will,116.0,,False,AWAY,-43.0,,,,
2015,3,REGULAR,4,The Idks,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,106.0,,8,Team Dubnation,{1328661D-EEAA-4F68-A866-1DEEAA6F68CC},Carson,139.0,,False,AWAY,-33.0,,,,
2015,4,REGULAR,11,The  Legends,"{45F320B7-A9EA-42AD-BEEA-AE97F33A55FE}, {CB8801B1-2DC9-47DB-9752-626600865D83}","Brett, Connor",47.0,,5,dhong  dynasty,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,59.0,,False,AWAY,-12.0,,,,
2015,4,REGULAR,2,Tune Squad,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,62.0,,1,Mimsy's Nut Biters,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,108.0,,False,AWAY,-46.0,,,,
2015,4,REGULAR,3,Midget Jes̼s,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,74.0,,6,Dez Caught it,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,82.0,,False,AWAY,-8.0,,,,
2015,4,REGULAR,10,$wag Money,{EAAD1FEA-A6D1-4BBE-A09A-EC86EF223450},Jack,72.0,,9,Team Swag monster,{ED7135CE-1C99-405A-B135-CE1C99E05A9F},Will,77.0,,False,AWAY,-5.0,,,,
2015,4,REGULAR,8,Team Dubnation,{1328661D-EEAA-4F68-A866-1DEEAA6F68CC},Carson,85.0,,12,Ruddy Ducks,{207DC893-5A3A-4A1B-BDC8-935A3AAA1B0B},Marco,51.0,,False,HOME,34.0,,,,
2015,4,REGULAR,4,The Idks,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,78.0,,7,Dunn's Dominators,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,65.0,,False,HOME,13.0,,,,
2015,5,REGULAR,2,Tune Squad,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,97.0,,11,The  Legends,"{45F320B7-A9EA-42AD-BEEA-AE97F33A55FE}, {CB8801B1-2DC9-47DB-9752-626600865D83}","Brett, Connor",54.0,,False,HOME,43.0,,,,
2015,5,REGULAR,5,dhong  dynasty,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,100.0,,3,Midget Jes̼s,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,52.0,,False,HOME,48.0,,,,
2015,5,REGULAR,1,Mimsy's Nut Biters,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,105.0,,6,Dez Caught it,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,89.0,,False,HOME,16.0,,,,
2015,5,REGULAR,8,Team Dubnation,{1328661D-EEAA-4F68-A866-1DEEAA6F68CC},Carson,73.0,,10,$wag Money,{EAAD1FEA-A6D1-4BBE-A09A-EC86EF223450},Jack,68.0,,False,HOME,5.0,,,,
